index,width,height,unique,blur,mean,min,max,stdv,file_size,contrast
60,500,348,0,8377.6318,137.2237,0.0000,255.0000,55.8070,135081,1.0000
61,500,375,0,3982.3252,159.4867,0.0000,255.0000,63.1129,139948,1.0000
62,500,375,0,299.6219,66.6230,0.0000,203.0000,25.8815,104494,1.0000
63,305,201,0,388.7828,165.7047,0.0000,255.0000,69.8809,6438,1.0000
64,477,422,0,2151.8286,101.0269,0.0000,242.0000,44.7641,40483,1.0000
65,500,375,0,8316.9414,110.7789,0.0000,255.0000,66.9280,132707,1.0000
66,640,480,0,243.7009,112.1657,13.0000,242.0000,33.6955,21992,0.8980
67,500,328,0,975.7141,156.8751,0.0000,255.0000,48.3319,126273,1.0000
68,500,353,0,13017.7148,122.5287,0.0000,255.0000,48.9189,160717,1.0000
69,300,223,0,2028.2789,96.6843,0.0000,255.0000,54.6809,23823,1.0000
70,313,310,0,1222.9055,115.2343,0.0000,255.0000,57.3336,16315,1.0000
71,400,272,0,1675.9763,183.1881,0.0000,255.0000,72.5082,34083,1.0000
72,300,300,0,1451.4784,155.2484,0.0000,248.0000,51.5088,23705,1.0000
73,500,335,0,2067.8970,80.1783,0.0000,205.0000,35.7499,94012,1.0000
74,1600,1200,0,2192.3311,112.3303,0.0000,255.0000,63.1525,453809,1.0000
75,768,712,0,1409.2399,181.9731,0.0000,254.0000,48.8723,87625,1.0000
76,400,267,0,1294.4634,87.2806,0.0000,255.0000,52.3988,21396,1.0000
77,317,246,0,2104.6882,112.7800,0.0000,255.0000,85.0762,21749,1.0000
78,600,234,0,1204.2557,65.9222,0.0000,253.0000,60.3936,31265,1.0000
79,400,467,0,1547.4606,104.6024,0.0000,255.0000,77.8242,18934,1.0000
80,214,320,0,927.8488,180.4104,0.0000,255.0000,36.2453,11636,1.0000
81,400,400,0,1763.2764,153.0110,0.0000,255.0000,49.6734,621103,1.0000
82,263,360,0,1151.0026,135.1459,0.0000,255.0000,94.6055,18114,1.0000
83,275,411,0,678.6373,156.5567,8.0000,255.0000,56.8603,59060,0.9392
84,400,353,0,1334.2334,141.1966,0.0000,255.0000,48.2584,24583,1.0000
85,198,320,0,2289.5806,91.3979,0.0000,255.0000,61.6588,24457,1.0000
86,500,375,0,812.9758,152.5596,0.0000,255.0000,75.8099,69221,1.0000
87,400,300,0,464.2737,126.0895,0.0000,255.0000,44.5526,19607,1.0000
88,378,300,0,1404.4926,143.3214,0.0000,255.0000,38.6057,15339,1.0000
89,300,225,0,315.2479,132.7365,0.0000,253.0000,54.8377,9538,1.0000
90,335,500,0,726.6511,28.0547,0.0000,255.0000,31.1977,64321,1.0000
91,297,300,0,412.1051,164.8427,0.0000,255.0000,67.1419,11940,1.0000
92,300,224,0,444.6943,115.5301,0.0000,249.0000,46.9915,11904,1.0000
93,300,176,0,1243.0472,63.6779,0.0000,255.0000,55.4162,6171,1.0000
94,300,225,0,182.7820,125.9845,17.0000,255.0000,62.6211,8289,0.8750
95,177,300,0,254.2592,145.9425,0.0000,255.0000,58.1271,7949,1.0000
96,300,225,0,377.0774,145.4347,12.0000,248.0000,43.9095,9499,0.9077
97,190,300,0,590.6913,128.1414,0.0000,255.0000,52.9460,10725,1.0000
98,400,352,0,655.0558,214.9295,8.0000,255.0000,61.6142,14263,0.9392
99,600,400,0,586.0380,74.2305,0.0000,242.0000,41.0288,32362,1.0000
100,300,225,0,1321.9539,106.3522,0.0000,255.0000,79.6859,46667,1.0000
101,300,225,0,588.4380,106.9743,0.0000,255.0000,54.5846,10164,1.0000
102,229,300,0,762.3176,132.3714,0.0000,255.0000,38.9049,10609,1.0000
103,240,300,0,939.0708,92.7213,0.0000,255.0000,42.7133,14545,1.0000
104,300,279,0,1027.0814,171.2453,2.0000,255.0000,84.0494,10407,0.9844
105,208,278,0,387.1257,136.3661,0.0000,243.0000,49.8585,26804,1.0000
106,400,383,0,649.8578,175.3004,0.0000,255.0000,70.5104,22070,1.0000
107,241,300,0,130.2264,137.8702,3.0000,218.0000,65.2435,6717,0.9729
108,240,240,0,1076.3154,103.5260,0.0000,255.0000,52.5681,18148,1.0000
109,224,300,0,250.3935,80.1506,0.0000,249.0000,61.7962,8648,1.0000
110,300,225,0,611.7535,162.9345,0.0000,255.0000,59.4532,12015,1.0000
111,300,225,0,832.6641,135.8883,0.0000,250.0000,50.5086,10778,1.0000
112,241,244,0,3900.0532,116.7385,0.0000,255.0000,62.4048,23474,1.0000
113,207,300,0,609.8636,88.2477,0.0000,255.0000,79.4759,8674,1.0000
114,500,375,0,3061.6750,79.2341,0.0000,241.0000,61.5903,108106,1.0000
115,300,225,0,444.7538,164.3819,0.0000,255.0000,36.4369,10687,1.0000
116,300,248,0,915.2503,124.4978,0.0000,255.0000,70.6882,12754,1.0000
117,300,225,0,185.6786,164.0267,0.0000,255.0000,62.8701,8415,1.0000
118,225,300,0,469.2856,102.7880,0.0000,255.0000,79.6983,9143,1.0000
119,225,300,0,362.5453,152.9242,0.0000,255.0000,65.6892,10530,1.0000
120,300,225,0,461.6022,181.2168,0.0000,255.0000,64.7207,10490,1.0000
121,300,225,0,303.3712,109.7446,0.0000,223.0000,48.9364,10843,1.0000
122,500,373,0,5315.6084,128.3190,0.0000,255.0000,65.4158,48780,1.0000
123,300,256,0,700.5568,131.2659,0.0000,255.0000,40.0150,11563,1.0000
124,277,300,0,510.4589,141.7363,52.0000,255.0000,52.2001,13522,0.6612
125,800,600,0,1139.3140,135.3378,0.0000,255.0000,34.3604,84275,1.0000
126,335,500,0,2106.7214,103.9296,0.0000,255.0000,63.8003,95880,1.0000
127,500,369,0,1962.9341,82.0586,0.0000,255.0000,46.8039,133307,1.0000
128,400,286,0,524.4589,135.0298,0.0000,255.0000,41.0877,49667,1.0000
129,1200,1600,0,1693.0365,130.7159,0.0000,255.0000,48.8902,214712,1.0000
130,600,473,0,1033.4319,58.0816,0.0000,254.0000,53.1234,32760,1.0000
131,335,500,0,1587.7388,48.7544,0.0000,255.0000,48.4522,73087,1.0000
132,300,400,0,1273.5348,192.4481,0.0000,255.0000,75.3262,22992,1.0000
133,1600,1200,0,1605.9791,109.9242,0.0000,255.0000,50.2498,176924,1.0000
134,450,300,0,340.1782,91.8801,0.0000,255.0000,43.1027,15765,1.0000
136,480,360,0,2251.1555,134.3540,0.0000,255.0000,59.6399,19417,1.0000
137,1600,1200,0,2945.9629,108.6612,0.0000,255.0000,65.7726,286542,1.0000
138,600,869,0,1123.4697,49.5882,0.0000,255.0000,37.1945,61533,1.0000
139,1646,1278,0,3190.4148,88.8562,0.0000,255.0000,51.8849,363054,1.0000
140,335,500,0,1893.4132,98.6179,0.0000,255.0000,48.7968,69700,1.0000
141,990,962,0,2013.5764,149.4093,0.0000,255.0000,41.1450,121883,1.0000
142,190,168,0,549.2113,170.2706,0.0000,250.0000,40.5971,22031,1.0000
143,335,500,0,309.5771,52.0516,0.0000,206.0000,37.3473,55674,1.0000
144,500,335,0,725.6631,135.5996,0.0000,231.0000,51.5479,81462,1.0000
145,299,448,0,1349.2775,202.6720,0.0000,255.0000,56.6232,35319,1.0000
146,335,500,0,723.7028,109.2705,0.0000,255.0000,62.1725,69096,1.0000
147,335,500,0,763.0424,19.5670,0.0000,255.0000,19.2988,62369,1.0000
148,335,500,0,570.9213,132.4210,0.0000,255.0000,62.5191,82777,1.0000
149,728,597,0,1640.0715,149.8220,0.0000,255.0000,51.6971,62499,1.0000
150,500,335,0,639.7949,83.2941,0.0000,228.0000,53.2010,74657,1.0000
151,500,442,0,459.0233,69.2947,0.0000,178.0000,43.6459,94102,1.0000
152,275,275,0,859.6931,157.8104,0.0000,255.0000,60.8191,15750,1.0000
153,250,188,0,418.3475,136.4836,0.0000,255.0000,33.7725,6641,1.0000
154,375,500,0,1045.7672,117.8495,0.0000,255.0000,60.7207,88256,1.0000
155,335,500,0,231.0301,102.8006,0.0000,255.0000,44.6712,56295,1.0000
156,200,150,0,967.3983,125.8808,4.0000,255.0000,60.4767,72679,0.9691
157,500,335,0,280.3138,55.8733,0.0000,241.0000,38.2285,67832,1.0000
158,1000,842,0,5017.3779,103.6632,0.0000,255.0000,49.7186,150735,1.0000
159,500,335,0,704.3732,37.5096,0.0000,212.0000,31.4642,77198,1.0000
160,150,116,0,2708.4795,89.2891,0.0000,255.0000,52.9824,6672,1.0000
161,400,267,0,1086.7421,47.6020,0.0000,255.0000,58.5971,20942,1.0000
162,320,480,0,943.2645,219.2608,0.0000,255.0000,55.0658,16723,1.0000
163,366,282,0,640.4799,49.1358,0.0000,255.0000,54.9610,14427,1.0000
164,335,500,0,284.6878,63.4584,0.0000,148.0000,29.3976,61892,1.0000
165,335,500,0,2127.0891,67.0996,0.0000,255.0000,46.2296,99802,1.0000
166,414,500,0,869.6838,79.2397,0.0000,255.0000,43.1753,97549,1.0000
167,335,500,0,624.6330,153.6600,0.0000,255.0000,73.1157,69893,1.0000
168,833,539,0,1632.0139,91.3961,0.0000,255.0000,33.0761,101754,1.0000
169,335,500,0,1006.0098,81.2998,0.0000,255.0000,51.9734,77900,1.0000
170,400,267,0,1335.5879,47.3540,0.0000,255.0000,58.3133,17414,1.0000
171,335,500,0,640.9510,48.3459,0.0000,255.0000,30.4022,70669,1.0000
172,275,380,0,1024.1445,114.4833,0.0000,255.0000,69.6042,68100,1.0000
173,288,500,0,1580.9712,187.2816,0.0000,255.0000,46.3250,92631,1.0000
174,500,375,0,16075.4404,139.8825,0.0000,255.0000,58.0586,201062,1.0000
175,300,450,0,2865.8257,168.5173,0.0000,255.0000,70.8617,35521,1.0000
176,400,300,0,3944.1399,104.4667,0.0000,255.0000,49.8484,41043,1.0000
177,250,266,0,2165.9399,139.6384,0.0000,255.0000,61.9268,23362,1.0000
178,1280,800,0,1546.2866,136.8839,0.0000,255.0000,34.2570,95883,1.0000
179,500,375,0,3874.5264,158.9469,0.0000,255.0000,78.0008,157030,1.0000
180,331,449,0,1338.2543,214.5616,0.0000,255.0000,56.7302,19529,1.0000
181,393,500,0,4072.8396,85.3924,0.0000,255.0000,75.7455,93889,1.0000
182,266,400,0,2264.6570,140.7684,0.0000,255.0000,69.0399,28989,1.0000
183,500,449,0,4103.9756,89.3622,0.0000,255.0000,57.1440,135621,1.0000
184,333,500,0,914.2549,173.5582,0.0000,255.0000,41.4204,91601,1.0000
185,400,300,0,3816.7080,125.9470,0.0000,255.0000,62.5123,32264,1.0000
186,500,357,0,11908.4570,164.1338,0.0000,255.0000,58.4034,188320,1.0000
187,500,400,0,4912.4297,136.1402,0.0000,255.0000,74.2401,197461,1.0000
188,500,335,0,409.5029,62.0203,0.0000,213.0000,49.3920,60253,1.0000
189,401,500,0,7084.8286,97.5913,0.0000,255.0000,56.7737,162676,1.0000
190,260,262,0,272.5216,125.8656,0.0000,228.0000,56.9748,11907,1.0000
191,400,500,0,6491.8945,126.0351,0.0000,255.0000,80.1455,187682,1.0000
192,500,375,0,4351.9033,122.9260,0.0000,255.0000,61.6708,178036,1.0000
193,375,500,0,2413.9109,105.6355,0.0000,255.0000,81.4129,96141,1.0000
194,375,500,0,1291.5029,136.2297,0.0000,255.0000,54.9783,121257,1.0000
195,375,500,0,2142.4233,167.1108,1.0000,255.0000,53.4386,124408,0.9922
196,375,500,0,2238.6855,142.5249,0.0000,255.0000,43.5018,141857,1.0000
197,500,386,0,3301.0852,174.7807,0.0000,255.0000,63.5657,130825,1.0000
198,450,299,0,1980.3280,102.6086,0.0000,253.0000,51.1342,156022,1.0000
199,450,385,0,1168.9926,195.6939,0.0000,255.0000,59.7013,21004,1.0000
200,500,333,0,17890.7461,142.1075,0.0000,255.0000,56.9742,185757,1.0000
201,500,334,0,4619.6196,95.0460,0.0000,255.0000,55.7274,139723,1.0000
202,334,500,0,3623.8970,121.9664,0.0000,255.0000,63.3886,151651,1.0000
203,375,500,0,7180.5449,93.3740,0.0000,255.0000,62.0053,182101,1.0000
204,500,332,0,1438.5712,95.2895,0.0000,255.0000,53.1571,91657,1.0000
205,500,332,0,2792.7122,86.8670,0.0000,255.0000,44.6151,128035,1.0000
206,325,500,0,4470.7617,128.3700,0.0000,255.0000,58.3633,134884,1.0000
207,376,500,0,2324.2783,97.2951,0.0000,255.0000,44.6289,176345,1.0000
208,375,500,0,10525.0117,96.9735,0.0000,255.0000,62.3853,193178,1.0000
209,335,500,0,21719.2051,127.1957,0.0000,255.0000,66.8149,210078,1.0000
210,500,334,0,737.6286,68.0631,0.0000,255.0000,56.6824,64227,1.0000
211,500,441,0,2225.6755,112.2216,0.0000,255.0000,39.6741,146759,1.0000
212,500,333,0,862.6221,90.2649,0.0000,248.0000,64.0778,78876,1.0000
213,333,500,0,5404.7080,135.2601,0.0000,255.0000,70.5602,99947,1.0000
214,500,333,0,1337.3730,159.6855,0.0000,255.0000,73.9838,94994,1.0000
215,500,375,0,1689.4941,61.5748,0.0000,255.0000,67.2867,111491,1.0000
216,500,333,0,4992.8760,126.0568,0.0000,255.0000,53.6265,118393,1.0000
217,375,500,0,2488.3291,133.0724,0.0000,255.0000,70.9929,116169,1.0000
218,375,500,0,1780.1943,75.0922,0.0000,255.0000,50.0255,144810,1.0000
219,375,500,0,2137.5371,66.1217,0.0000,255.0000,54.7626,128242,1.0000
220,334,500,0,14872.8584,115.1219,0.0000,255.0000,65.0547,138439,1.0000
221,500,375,0,2122.7686,105.3931,0.0000,255.0000,59.2341,107736,1.0000
222,500,334,0,3193.6377,150.4794,0.0000,255.0000,55.4184,89785,1.0000
223,500,333,0,4690.3618,101.9476,0.0000,255.0000,69.8133,122597,1.0000
224,500,333,0,3218.4136,146.2549,0.0000,255.0000,45.5526,116018,1.0000
225,332,500,0,15855.1904,109.7294,0.0000,255.0000,46.8611,232437,1.0000
226,375,500,0,843.6585,148.8260,0.0000,255.0000,35.2642,122038,1.0000
227,500,465,0,1356.3719,109.2022,0.0000,220.0000,49.4745,116657,1.0000
228,353,500,0,689.5300,109.9679,0.0000,255.0000,63.5684,90777,1.0000
229,500,334,0,3134.4719,123.5526,0.0000,255.0000,30.9045,132287,1.0000
230,500,281,0,2396.9526,129.7456,0.0000,255.0000,56.5632,88258,1.0000
231,382,500,0,7950.9438,144.8226,0.0000,255.0000,58.6423,147342,1.0000
232,500,333,0,1051.8893,109.2902,0.0000,255.0000,80.2188,84433,1.0000
233,420,500,0,3080.9473,131.8074,0.0000,255.0000,53.8472,126680,1.0000
234,500,376,0,3254.7559,87.2111,0.0000,255.0000,62.3396,147749,1.0000
235,375,500,0,2866.4038,115.9627,0.0000,255.0000,61.0413,157708,1.0000
236,500,334,0,6648.8540,121.0704,0.0000,255.0000,58.5643,107597,1.0000
237,500,334,0,13490.5889,120.7817,0.0000,255.0000,54.4601,148100,1.0000
238,500,334,0,4034.3540,97.2157,0.0000,255.0000,42.8912,120147,1.0000
239,333,500,0,10238.7529,132.5008,0.0000,255.0000,77.5573,147965,1.0000
240,500,333,0,2219.3247,174.6857,0.0000,255.0000,54.9058,116518,1.0000
241,333,500,0,10741.7031,156.4770,0.0000,255.0000,65.4376,147850,1.0000
242,334,500,0,3851.3137,123.5040,0.0000,255.0000,55.9234,110606,1.0000
243,500,333,0,955.4631,137.8819,0.0000,255.0000,59.8833,81982,1.0000
244,500,333,0,1487.5455,134.4484,0.0000,255.0000,70.3977,103710,1.0000
245,333,500,0,2128.5969,116.8750,0.0000,255.0000,44.5750,156165,1.0000
246,333,500,0,5660.3677,145.7343,0.0000,255.0000,87.0685,110788,1.0000
247,500,333,0,1665.2108,128.2032,0.0000,255.0000,66.4840,79241,1.0000
248,500,375,0,3048.1516,111.8735,0.0000,255.0000,78.6574,135314,1.0000
249,375,500,0,2878.7144,102.6931,0.0000,255.0000,68.0271,132914,1.0000
250,500,333,0,3579.7729,148.1468,0.0000,255.0000,68.0852,105953,1.0000
251,500,375,0,1028.0278,46.6268,0.0000,237.0000,66.4975,80970,1.0000
252,375,500,0,4609.0459,65.0094,0.0000,255.0000,51.6031,179956,1.0000
253,500,376,0,1511.7900,120.1920,0.0000,255.0000,62.8819,171128,1.0000
254,500,334,0,1720.0588,36.9849,0.0000,255.0000,59.8466,56068,1.0000
255,500,334,0,910.2570,56.2021,0.0000,249.0000,63.9917,63445,1.0000
256,500,334,0,2343.7981,62.2469,0.0000,255.0000,72.9994,76641,1.0000
257,500,384,0,5891.3379,110.6533,0.0000,255.0000,50.7636,167081,1.0000
258,500,333,0,554.0957,114.1539,0.0000,255.0000,63.0912,64795,1.0000
259,334,500,0,3857.1270,118.2027,0.0000,255.0000,65.7984,87864,1.0000
260,500,333,0,1678.8566,86.2285,0.0000,255.0000,52.3210,85601,1.0000
261,500,375,0,13065.4414,108.5603,0.0000,255.0000,60.6207,193546,1.0000
262,375,500,0,1174.0229,108.9167,0.0000,255.0000,53.4757,109765,1.0000
263,500,375,0,1234.7224,47.0152,0.0000,255.0000,46.8799,84458,1.0000
264,500,375,0,853.3370,84.8210,0.0000,255.0000,54.5252,87020,1.0000
265,500,333,0,1278.8804,114.3147,0.0000,255.0000,64.7579,116102,1.0000
266,500,334,0,15034.3770,136.5144,0.0000,255.0000,49.0713,166370,1.0000
267,394,500,0,2789.5417,197.5497,0.0000,255.0000,52.0432,120001,1.0000
268,375,500,0,1989.8958,140.9213,0.0000,255.0000,72.0145,115921,1.0000
269,500,333,0,418.3816,109.2385,0.0000,222.0000,51.7837,63192,1.0000
270,500,333,0,222.8794,120.8818,0.0000,238.0000,59.5043,59750,1.0000
271,291,331,0,976.6602,132.0309,0.0000,255.0000,62.1089,38020,1.0000
272,500,333,0,608.6465,67.8002,0.0000,255.0000,73.6040,65966,1.0000
273,500,327,0,4711.7354,87.6535,0.0000,255.0000,57.8043,140573,1.0000
274,500,334,0,3277.2539,105.4714,0.0000,255.0000,66.2086,105433,1.0000
275,500,334,0,537.0928,101.5649,0.0000,255.0000,43.6870,72343,1.0000
276,500,334,0,966.5209,97.6534,0.0000,219.0000,45.4013,84843,1.0000
277,500,334,0,976.7760,91.8157,0.0000,185.0000,38.6698,84429,1.0000
278,500,375,0,2757.4421,151.8245,0.0000,255.0000,89.3524,106039,1.0000
279,500,333,0,1494.7787,61.3935,0.0000,255.0000,48.9853,92624,1.0000
280,500,333,0,717.3408,109.7885,0.0000,255.0000,56.3022,80749,1.0000
281,500,333,0,1182.1306,126.0147,0.0000,255.0000,47.8375,83971,1.0000
282,375,500,0,3125.6414,136.2374,0.0000,255.0000,72.9581,117142,1.0000
283,500,333,0,2443.9929,93.0340,0.0000,255.0000,42.9760,105049,1.0000
284,500,500,0,2496.5205,140.3182,0.0000,255.0000,61.6822,146178,1.0000
285,334,500,0,2015.6163,128.9230,0.0000,255.0000,69.0090,80513,1.0000
286,500,374,0,4794.0356,76.6847,0.0000,255.0000,53.9921,157400,1.0000
287,500,375,0,2370.8657,129.5936,0.0000,255.0000,56.4757,118687,1.0000
288,500,333,0,15091.5801,112.2020,0.0000,255.0000,62.0038,187189,1.0000
289,500,406,0,3930.5430,87.8570,0.0000,252.0000,80.5195,146845,1.0000
290,500,335,0,505.5390,126.8903,0.0000,232.0000,55.4311,73451,1.0000
291,461,500,0,1226.5686,127.1270,0.0000,255.0000,57.7473,122055,1.0000
292,500,323,0,492.1975,136.7867,0.0000,255.0000,68.5936,75973,1.0000
293,500,335,0,2693.0142,95.6248,0.0000,255.0000,75.5720,90599,1.0000
294,500,338,0,1425.6270,119.3533,0.0000,255.0000,70.8914,93957,1.0000
295,500,334,0,1578.1521,147.8907,0.0000,255.0000,62.2928,66932,1.0000
296,500,333,0,933.3744,93.2877,0.0000,226.0000,59.6183,86966,1.0000
297,500,319,0,1705.7651,62.5537,0.0000,255.0000,62.0896,76255,1.0000
298,500,335,0,2057.3311,99.7135,0.0000,255.0000,76.8082,91324,1.0000
299,412,500,0,1130.1473,126.2819,0.0000,255.0000,62.4859,107566,1.0000
300,334,500,0,13163.0635,109.8213,0.0000,255.0000,63.1348,183406,1.0000
301,500,335,0,3082.3252,104.1017,0.0000,255.0000,69.2800,104466,1.0000
302,500,335,0,868.9395,70.5309,0.0000,245.0000,67.9812,62296,1.0000
303,500,334,0,7722.0488,97.5999,0.0000,255.0000,72.1592,176691,1.0000
304,446,500,0,1160.0853,140.9575,0.0000,255.0000,51.4328,113514,1.0000
305,376,500,0,4044.4333,116.2726,0.0000,255.0000,75.0007,145565,1.0000
306,500,335,0,821.0589,128.6497,0.0000,255.0000,69.8973,80513,1.0000
307,500,376,0,1271.2224,124.3615,0.0000,252.0000,67.2142,96586,1.0000
308,420,500,0,2105.4670,100.1234,0.0000,255.0000,78.8052,122076,1.0000
309,500,335,0,1535.5123,105.6027,0.0000,255.0000,74.8420,79517,1.0000
310,500,434,0,2409.9570,107.0381,0.0000,255.0000,79.8461,125054,1.0000
311,449,500,0,1201.3491,124.6460,0.0000,255.0000,55.7353,102260,1.0000
312,334,500,0,3837.9648,136.9812,0.0000,255.0000,75.5831,87031,1.0000
313,500,335,0,439.7995,128.4897,0.0000,245.0000,46.2597,65332,1.0000
314,500,317,0,1658.0054,87.5671,0.0000,255.0000,66.4464,78049,1.0000
315,500,333,0,586.6654,111.0443,0.0000,255.0000,57.4040,89212,1.0000
316,334,500,0,5343.5020,89.8560,0.0000,255.0000,60.3020,101014,1.0000
317,500,333,0,1043.1353,112.8006,0.0000,255.0000,90.2796,70747,1.0000
318,334,500,0,2521.7781,133.4796,0.0000,255.0000,87.1719,74422,1.0000
319,334,500,0,3554.1577,138.7642,0.0000,255.0000,77.2860,80823,1.0000
320,500,334,0,4299.8057,115.6874,0.0000,255.0000,57.0702,94699,1.0000
321,376,500,0,4657.3037,113.1536,0.0000,255.0000,76.8497,158742,1.0000
322,334,500,0,9073.1396,153.8083,0.0000,255.0000,57.5599,105321,1.0000
323,334,500,0,15235.0996,117.0427,0.0000,255.0000,66.7721,139191,1.0000
324,500,333,0,275.3474,105.9107,2.0000,255.0000,33.1324,60422,0.9844
325,334,500,0,2564.5576,138.8217,0.0000,255.0000,56.9423,87273,1.0000
326,351,500,0,3066.6587,125.2909,0.0000,255.0000,63.1942,160876,1.0000
327,376,500,0,2522.5947,115.7937,5.0000,255.0000,64.3583,122170,0.9615
328,334,500,0,10082.2988,122.2322,0.0000,255.0000,63.8927,125973,1.0000
329,334,500,0,4078.8948,83.4024,0.0000,255.0000,63.4445,84821,1.0000
330,500,375,0,3387.2170,167.1815,0.0000,255.0000,79.9071,173065,1.0000
331,334,500,0,10170.3516,110.5153,0.0000,255.0000,62.6891,116597,1.0000
332,500,343,0,1516.2458,162.6300,0.0000,255.0000,78.6387,96477,1.0000
333,359,500,0,7236.5981,129.7785,0.0000,255.0000,71.4585,137516,1.0000
334,500,375,0,5859.9966,127.6085,0.0000,255.0000,65.3023,171855,1.0000
