from,to,distance
7083,7068,0.939818
6037,6036,0.939647
6036,6037,0.939647
4920,4921,0.939559
4921,4920,0.939559
5966,5898,0.939457
5898,5966,0.939457
3283,3307,0.939425
3307,3283,0.939425
1753,1709,0.939401
1709,1753,0.939401
2618,2617,0.939376
2617,2618,0.939376
3645,3682,0.938692
3682,3645,0.938692
3719,3645,0.938689
3741,3682,0.938659
6843,6847,0.938582
6847,6843,0.938582
2212,2345,0.938299
2345,2212,0.938299
5882,5891,0.937997
5891,5882,0.937997
712,698,0.937002
698,712,0.937002
3520,3407,0.936857
3407,3520,0.936857
5638,5649,0.936615
5649,5638,0.936615
3569,3466,0.936002
3466,3569,0.936002
2516,2515,0.935867
2515,2516,0.935867
5680,5681,0.935766
5681,5680,0.935766
6283,6285,0.935675
6285,6283,0.935675
4447,4446,0.935648
4446,4447,0.935648
21,142,0.935141
142,21,0.935141
1167,1162,0.934921
1162,1167,0.934921
4202,4398,0.934807
4398,4202,0.934807
5891,5880,0.934727
5880,5891,0.934727
178,153,0.934174
153,178,0.934174
2786,2793,0.933895
2793,2786,0.933895
5982,5920,0.933640
5920,5982,0.933640
6853,6846,0.933616
6846,6853,0.933616
6170,6171,0.933615
6171,6170,0.933615
5882,5893,0.933592
5893,5882,0.933592
3838,3835,0.933590
3835,3838,0.933590
3459,3461,0.933466
3461,3459,0.933466
5996,5800,0.932917
5800,5996,0.932917
3616,3617,0.932779
3617,3616,0.932779
4617,4609,0.932740
4609,4617,0.932740
7268,7273,0.932570
7273,7268,0.932570
904,907,0.932476
907,904,0.932476
5880,5885,0.932321
5885,5880,0.932321
3559,3558,0.932088
3558,3559,0.932088
4464,4431,0.931416
4431,4464,0.931416
3559,3540,0.931312
3540,3559,0.931312
4428,4425,0.931020
4425,4428,0.931020
5009,5014,0.930887
5014,5009,0.930887
5933,5818,0.930776
5818,5933,0.930776
7269,7271,0.930620
7271,7269,0.930620
2454,2465,0.930425
2465,2454,0.930425
5127,5130,0.930203
5130,5127,0.930203
6039,6036,0.930187
6036,6039,0.930187
3663,3680,0.929988
3680,3663,0.929988
7042,7040,0.929892
7040,7042,0.929892
3354,3390,0.929346
3390,3354,0.929346
4479,4522,0.929212
4522,4479,0.929212
298,293,0.929200
293,298,0.929200
3874,3894,0.928695
3894,3874,0.928695
4453,4479,0.928601
4479,4453,0.928601
5950,5912,0.928554
5912,5950,0.928554
5947,5972,0.928521
5972,5947,0.928521
2302,2218,0.928396
2218,2302,0.928396
5864,5869,0.928203
5869,5864,0.928203
1128,1126,0.928008
1126,1128,0.928008
391,392,0.927682
392,391,0.927682
5011,5012,0.927321
5012,5011,0.927321
2553,2551,0.927011
2551,2553,0.927011
5872,5866,0.926811
5866,5872,0.926811
3448,3447,0.926807
3447,3448,0.926807
3883,3903,0.926544
3903,3883,0.926544
5912,5978,0.926444
5978,5912,0.926444
3520,3559,0.926116
4619,4780,0.925876
4780,4619,0.925876
3402,3403,0.925655
3403,3402,0.925655
2917,2964,0.925603
2964,2917,0.925603
4431,4499,0.925211
4499,4431,0.925211
3540,3560,0.924982
3560,3540,0.924982
5895,5903,0.924937
5903,5895,0.924937
2711,2676,0.924654
2676,2711,0.924654
3628,3627,0.924617
5748,5749,0.924582
5749,5748,0.924582
5941,5921,0.924483
5921,5941,0.924483
1357,1361,0.924316
1361,1357,0.924316
3005,3003,0.923959
3003,3005,0.923959
679,680,0.923933
680,679,0.923933
7275,7268,0.923847
7268,7275,0.923847
1791,1753,0.923711
1753,1791,0.923711
1960,1959,0.923679
1959,1960,0.923679
7149,7113,0.923139
7113,7149,0.923139
5949,5934,0.922766
5934,5949,0.922766
3597,3401,0.922690
3401,3597,0.922690
569,573,0.922541
573,569,0.922541
2256,2352,0.922512
2352,2256,0.922512
3198,3005,0.922303
3005,3198,0.922303
5947,5934,0.922021
5934,5947,0.922021
2899,2897,0.921987
2897,2899,0.921987
1460,1520,0.921759
1520,1460,0.921759
2504,2503,0.921752
2503,2504,0.921752
7276,7274,0.921702
7274,7276,0.921702
3615,3612,0.921702
3612,3615,0.921702
2786,2791,0.921659
2791,2786,0.921659
5864,5868,0.921573
5868,5864,0.921573
3698,3715,0.921310
3715,3698,0.921310
306,309,0.921149
309,306,0.921149
5950,5978,0.921105
5978,5950,0.921105
298,301,0.921043
301,298,0.921043
3903,3826,0.921029
3826,3903,0.921029
4488,4464,0.920783
4464,4488,0.920783
6253,6251,0.920776
6251,6253,0.920776
3904,3863,0.920762
3863,3904,0.920762
4424,4431,0.920751
2167,2131,0.920746
2131,2167,0.920746
3265,3388,0.920633
3388,3265,0.920633
2129,2128,0.920395
2128,2129,0.920395
6851,6853,0.920395
6853,6851,0.920395
3866,3861,0.920348
3861,3866,0.920348
4426,4428,0.920251
4428,4426,0.920251
4416,4417,0.920248
4417,4416,0.920248
3863,3847,0.920091
3847,3863,0.920091
5902,5896,0.920038
5896,5902,0.920038
3422,3598,0.919925
3598,3422,0.919925
6482,6444,0.919659
6444,6482,0.919659
5147,5149,0.919566
5149,5147,0.919566
867,878,0.919408
878,867,0.919408
3836,3841,0.919285
3841,3836,0.919285
7271,7270,0.919280
7270,7271,0.919280
5897,5896,0.919265
5896,5897,0.919265
5695,5696,0.919248
5696,5695,0.919248
5807,5912,0.919180
6260,6368,0.919118
6368,6260,0.919118
5911,5947,0.918989
3656,3642,0.918700
3642,3656,0.918700
3049,3047,0.918524
3047,3049,0.918524
2812,2918,0.918229
2918,2812,0.918229
3623,3622,0.918183
7339,7340,0.918110
7340,7339,0.918110
1681,1684,0.918090
1684,1681,0.918090
3484,3483,0.918029
3483,3484,0.918029
999,851,0.917944
851,999,0.917944
4499,4488,0.917627
4488,4499,0.917627
5183,5181,0.917498
5181,5183,0.917498
3221,3327,0.917423
3327,3221,0.917423
3168,3172,0.917304
3172,3168,0.917304
3484,3512,0.917141
3512,3484,0.917141
7276,7278,0.917129
7278,7276,0.917129
4588,4566,0.917050
4566,4588,0.917050
5629,5624,0.916965
5624,5629,0.916965
4340,4338,0.916925
4338,4340,0.916925
3167,3058,0.916923
3058,3167,0.916923
3431,3498,0.916908
3498,3431,0.916908
5966,5912,0.916600
5861,5918,0.916552
5918,5861,0.916552
3560,3559,0.916495
6321,6326,0.916335
6326,6321,0.916335
6870,6863,0.915999
6863,6870,0.915999
3839,3841,0.915980
3841,3839,0.915980
5957,5912,0.915925
4670,4631,0.915674
4631,4670,0.915674
3994,3801,0.915664
3801,3994,0.915664
5905,5899,0.915650
5899,5905,0.915650
6278,6276,0.915576
6276,6278,0.915576
3355,3377,0.915355
3377,3355,0.915355
3761,3770,0.915289
3770,3761,0.915289
4958,4953,0.915194
4953,4958,0.915194
6841,6847,0.914756
6847,6841,0.914756
5031,5107,0.914670
5107,5031,0.914670
2466,2463,0.914596
2463,2466,0.914596
714,655,0.914553
655,714,0.914553
5885,5882,0.914494
5147,5143,0.914473
5143,5147,0.914473
6023,6016,0.914398
6016,6023,0.914398
1763,1791,0.914259
1791,1763,0.914259
4952,4953,0.914121
6843,6862,0.914099
6862,6843,0.914099
5920,5947,0.914090
6039,6037,0.913978
6037,6039,0.913978
3407,3540,0.913938
3662,3671,0.913921
3671,3662,0.913921
6397,6264,0.913869
6264,6397,0.913869
3656,3678,0.913830
3678,3656,0.913830
1709,1791,0.913799
5996,5995,0.913763
5995,5996,0.913763
6862,6847,0.913656
2812,2964,0.913545
2964,2812,0.913545
5173,5147,0.913526
6220,6351,0.913404
6351,6220,0.913404
3890,3896,0.913389
3896,3890,0.913389
1724,1753,0.913351
979,980,0.913348
980,979,0.913348
4430,4431,0.913302
7275,7273,0.913280
7273,7275,0.913280
7375,7344,0.913236
7344,7375,0.913236
7129,7055,0.913172
7055,7129,0.913172
5813,5800,0.913125
5800,5813,0.913125
5809,5805,0.913067
5805,5809,0.913067
2904,2908,0.913039
2908,2904,0.913039
399,210,0.913031
210,399,0.913031
4216,4295,0.912775
4295,4216,0.912775
3616,3612,0.912690
3612,3616,0.912690
5811,5805,0.912659
5805,5811,0.912659
5879,5807,0.912626
5807,5879,0.912626
2567,2572,0.912503
2572,2567,0.912503
4286,4259,0.912502
4259,4286,0.912502
4989,4947,0.912251
4947,4989,0.912251
1601,1753,0.912241
3623,3625,0.912152
7369,7372,0.911978
7372,7369,0.911978
4939,4808,0.911967
4808,4939,0.911967
3318,3276,0.911957
3276,3318,0.911957
6816,6847,0.911807
3332,3366,0.911792
3366,3332,0.911792
3886,3866,0.911655
3866,3886,0.911655
2572,2597,0.911582
2597,2572,0.911582
4949,4947,0.911515
4947,4949,0.911515
3448,3411,0.911427
3411,3448,0.911427
2614,2615,0.911391
2615,2614,0.911391
2918,2987,0.911282
2987,2918,0.911282
4631,4619,0.911239
4619,4631,0.911239
4295,4357,0.911203
4357,4295,0.911203
2520,2521,0.910833
2521,2520,0.910833
5949,5947,0.910825
715,714,0.910645
714,715,0.910645
5915,5973,0.910610
5973,5915,0.910610
7321,7344,0.910565
7344,7321,0.910565
5829,5912,0.910541
5995,5813,0.910529
7069,7079,0.910329
7079,7069,0.910329
5973,5916,0.910286
5916,5973,0.910286
5743,5759,0.910233
5759,5743,0.910233
7281,7270,0.910150
4513,4589,0.910079
4589,4513,0.910079
3558,3560,0.910078
3584,3569,0.909981
3569,3584,0.909981
5964,5929,0.909909
5929,5964,0.909909
3620,3622,0.909908
4425,4426,0.909631
4426,4425,0.909631
4763,4764,0.909568
4764,4763,0.909568
4949,4958,0.909532
4958,4949,0.909532
6821,6826,0.909421
6826,6821,0.909421
5811,5809,0.909310
5809,5811,0.909310
5898,5957,0.909274
5957,5898,0.909274
4987,4984,0.909260
4984,4987,0.909260
3326,3327,0.909199
3327,3326,0.909199
853,826,0.909124
826,853,0.909124
6872,6889,0.909098
6889,6872,0.909098
403,404,0.909055
404,403,0.909055
1738,1763,0.908980
1763,1738,0.908980
6471,6469,0.908949
6469,6471,0.908949
5031,5121,0.908937
5121,5031,0.908937
4825,4849,0.908893
4849,4825,0.908893
4430,4499,0.908780
3431,3569,0.908695
2466,2456,0.908691
2456,2466,0.908691
2468,2466,0.908691
3508,3431,0.908503
5034,5030,0.908457
5030,5034,0.908457
4808,4917,0.908226
4917,4808,0.908226
3839,3825,0.908216
3825,3839,0.908216
5194,5031,0.908194
4952,4958,0.908143
3508,3540,0.908122
5941,5947,0.908090
6015,6023,0.908051
6023,6015,0.908051
301,293,0.908029
293,301,0.908029
269,270,0.907900
270,269,0.907900
5045,5106,0.907898
5106,5045,0.907898
4988,4955,0.907804
4955,4988,0.907804
1169,1162,0.907793
1162,1169,0.907793
5972,5941,0.907700
5911,5972,0.907680
6138,6139,0.907648
6139,6138,0.907648
5114,5141,0.907604
5141,5114,0.907604
5770,5769,0.907522
5769,5770,0.907522
5964,5924,0.907407
5924,5964,0.907407
5861,5964,0.907291
3162,3163,0.907243
3163,3162,0.907243
2492,2505,0.907189
2505,2492,0.907189
5854,5873,0.907137
5873,5854,0.907137
780,714,0.907132
3678,3773,0.907123
3773,3678,0.907123
3620,3625,0.907104
4424,4499,0.906998
4469,4488,0.906973
711,721,0.906906
721,711,0.906906
1432,1467,0.906832
1467,1432,0.906832
3387,3386,0.906588
3386,3387,0.906588
7286,7261,0.906466
7261,7286,0.906466
5039,5034,0.906394
5034,5039,0.906394
5873,5856,0.906373
5856,5873,0.906373
788,708,0.906147
708,788,0.906147
3995,3882,0.906113
3882,3995,0.906113
3828,3839,0.906090
6350,6349,0.906012
6349,6350,0.906012
5194,5121,0.905845
5121,5194,0.905845
2112,2131,0.905842
2131,2112,0.905842
6861,6847,0.905819
2040,2107,0.905589
2107,2040,0.905589
5759,5732,0.905535
5732,5759,0.905535
3455,3422,0.905376
3422,3455,0.905376
6925,6868,0.905374
6868,6925,0.905374
5999,5832,0.905347
5832,5999,0.905347
1780,1609,0.905298
1609,1780,0.905298
1615,1609,0.905298
1609,1615,0.905298
3426,3535,0.905148
3535,3426,0.905148
5823,5803,0.905140
5803,5823,0.905140
5122,5031,0.905139
216,236,0.905128
236,216,0.905128
5624,5743,0.905047
5743,5624,0.905047
1641,1644,0.904908
1644,1641,0.904908
3498,3508,0.904895
6386,6226,0.904892
6226,6386,0.904892
3906,3999,0.904869
3999,3906,0.904869
4954,4958,0.904857
6934,6978,0.904807
6978,6934,0.904807
3318,3366,0.904797
3366,3318,0.904797
3693,3766,0.904734
3766,3693,0.904734
3333,3273,0.904691
3273,3333,0.904691
5918,5854,0.904612
5854,5918,0.904612
5944,5916,0.904576
5600,5746,0.904553
5746,5600,0.904553
5865,5951,0.904549
5951,5865,0.904549
5143,5173,0.904526
5173,5143,0.904526
2341,2389,0.904485
2389,2341,0.904485
5930,5950,0.904438
7272,7281,0.904415
7281,7272,0.904415
1479,1432,0.904316
1432,1479,0.904316
4286,4295,0.904305
2711,2719,0.904243
2719,2711,0.904243
3729,3788,0.904201
3788,3729,0.904201
7354,7344,0.904192
6882,6893,0.904186
6893,6882,0.904186
5907,5903,0.904185
5903,5907,0.904185
1795,1770,0.904023
1770,1795,0.904023
5984,5912,0.904006
4627,4795,0.903935
4795,4627,0.903935
3683,3659,0.903905
3659,3683,0.903905
1379,1349,0.903866
1349,1379,0.903866
6931,6820,0.903800
6820,6931,0.903800
3551,3548,0.903716
3548,3551,0.903716
6278,6279,0.903617
6279,6278,0.903617
3500,3584,0.903522
3584,3500,0.903522
3864,3870,0.903505
3870,3864,0.903505
4297,4295,0.903467
847,850,0.903425
850,847,0.903425
3642,3648,0.903396
3648,3642,0.903396
1547,1551,0.903376
1551,1547,0.903376
6326,6372,0.903145
6372,6326,0.903145
3088,3172,0.903024
3172,3088,0.903024
4270,4295,0.902949
3668,3705,0.902906
3705,3668,0.902906
5929,5947,0.902883
989,999,0.902834
999,989,0.902834
6846,6854,0.902787
6854,6846,0.902787
5688,5684,0.902700
5684,5688,0.902700
3900,3901,0.902683
3901,3900,0.902683
3662,3648,0.902641
3648,3662,0.902641
866,865,0.902599
865,866,0.902599
3705,3601,0.902587
3601,3705,0.902587
3835,3834,0.902561
3834,3835,0.902561
3698,3733,0.902547
3733,3698,0.902547
4570,4541,0.902431
4541,4570,0.902431
7282,7271,0.902416
1601,1796,0.902339
1796,1601,0.902339
4883,4852,0.902305
4852,4883,0.902305
3766,3715,0.902196
3715,3766,0.902196
660,666,0.902102
666,660,0.902102
4989,4949,0.902068
719,692,0.902026
692,719,0.902026
5924,5978,0.902020
5679,5640,0.901989
5640,5679,0.901989
4507,4450,0.901988
4450,4507,0.901988
5994,5933,0.901985
4493,4495,0.901980
4495,4493,0.901980
3127,3115,0.901969
3115,3127,0.901969
907,902,0.901965
902,907,0.901965
4448,4447,0.901952
4447,4448,0.901952
3301,3324,0.901821
3324,3301,0.901821
5149,5173,0.901664
628,626,0.901575
626,628,0.901575
851,859,0.901478
859,851,0.901478
236,237,0.901312
237,236,0.901312
5745,5624,0.901281
5888,5889,0.901232
5889,5888,0.901232
3904,3847,0.901229
3847,3904,0.901229
5921,5947,0.901196
311,299,0.901171
299,311,0.901171
4400,4508,0.901105
4508,4400,0.901105
3344,3326,0.901049
3326,3344,0.901049
2611,2609,0.900898
2609,2611,0.900898
2574,2442,0.900867
2442,2574,0.900867
5366,5370,0.900866
5370,5366,0.900866
5040,5121,0.900830
3409,3448,0.900789
5829,5984,0.900773
5984,5829,0.900773
3368,3367,0.900770
3367,3368,0.900770
6882,6872,0.900661
5946,5887,0.900637
5887,5946,0.900637
3333,3301,0.900578
3301,3333,0.900578
7028,7061,0.900529
7061,7028,0.900529
3268,3301,0.900528
2,197,0.900441
197,2,0.900441
5583,5584,0.900398
5584,5583,0.900398
2254,2395,0.900379
2395,2254,0.900379
3773,3656,0.900376
2928,2930,0.900358
2930,2928,0.900358
5848,5849,0.900332
5849,5848,0.900332
4877,4849,0.900324
4849,4877,0.900324
3590,3569,0.900322
3861,3886,0.900308
3886,3861,0.900308
2905,2908,0.900264
2908,2905,0.900264
4768,4766,0.900255
4766,4768,0.900255
748,714,0.900236
635,800,0.900213
800,635,0.900213
3895,3886,0.900177
3910,3886,0.900133
7110,7113,0.900086
7113,7110,0.900086
3820,3974,0.900074
3974,3820,0.900074
4308,4295,0.900055
5340,5331,0.900046
5331,5340,0.900046
3561,3569,0.900008
